station,year,month,worldcover_2021_built_frac_100m,worldcover_2021_grass_frac_100m,worldcover_2021_cropland_frac_100m,worldcover_2021_water_frac_100m,worldcover_2021_built_frac_250m,worldcover_2021_grass_frac_250m,worldcover_2021_cropland_frac_250m,worldcover_2021_water_frac_250m,worldcover_2021_built_frac_500m,worldcover_2021_grass_frac_500m,worldcover_2021_cropland_frac_500m,worldcover_2021_water_frac_500m,worldcover_2021_built_frac_1000m,worldcover_2021_grass_frac_1000m,worldcover_2021_cropland_frac_1000m,worldcover_2021_water_frac_1000m
Alipur,2022,1,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,2,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,3,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,4,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,5,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,6,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,7,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,8,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,9,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,10,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,11,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2022,12,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
Alipur,2023,1,0.21989413891040535,0.004634650142008778,0.042796281951975206,0.0,0.16161612073553489,0.053552312863361075,0.3356530431773616,0.0,0.20182022855879303,0.0892424592684912,0.5473746896766608,0.0,0.2862979828199445,0.06744801013261106,0.5694291489894063,0.0
